dropped_symbol,canonical_symbol,n_dropped,n_canonical
BIPLS,AKDSL,838,1671
KHSM,ARCTM,472,1292
SMBL,BML,1775,2474
BYCO,CNERGY,1297,2476
CWSM,QTECH,2210,2392
CLOUD,QTECH,1905,2392
DAWH,ENGROH,2029,2456
DKL,OBOY,956,2118
DMTX,DMC,298,572
DSML,TPLL,460,798
EFGH,IMS,1279,1734
ENGL,SCHT,107,107
FDIBL,FDPL,1850,2467
HCL,STL,341,751
SAPL,HPL,1368,2028
HSM,TCORP,1313,2183
ICI,LCI,1532,2443
IDSM,IDEAL,915,962
IGIIL,IGIHL,386,2356
ZHCM,ITANZ,107,257
LMSM,LIVEN,936,1375
MCBAH,MCBIM,1130,1877
SHEL,WAFI,2088,2476
SING,WAVES,446,2476
WHALE,WAVESAPP,1491,2169
SMTM,WAVESAPP,1144,2169
SPCL,SPLC,937,937
