symbol,censor_rate,alpha_gap,floor_binds
AABS,0.07389162561576355,0.15357096232728137,0.0
ABL,0.006195786864931847,0.0025317277123208803,0.0
ABOT,0.01668806161745828,0.008138383079389827,0.0
ACPL,0.040993788819875775,0.01270217863331452,0.0
ADAMS,0.14623955431754876,0.016972959314429006,0.11404728789986092
ADMM,0.1069182389937107,0.025005356144952168,0.0
ADOS,0.29854368932038833,0.41834776809852814,0.050970873786407765
AGIC,0.046801872074883,0.03168617411364422,0.049766718506998445
AGIL,0.05807365439093484,0.051634821532483055,0.0
AGL,0.01951219512195122,0.0038536290104066173,1.0
AGP,0.0611353711790393,0.06503129849629774,0.0
AGSML,0.02203856749311295,0.019672814095480023,1.0
AGTL,0.03444034440344403,0.08655006762246381,0.0
AHCL,0.039141414141414144,0.022259174189406872,0.020202020202020204
AHL,0.09765142150803462,0.06811620300878421,0.0
AICL,0.01982651796778191,0.028037380460335937,0.0
AKBL,0.022004889975550123,-0.0015660616216630618,0.36662606577344703
AKDSL,0.09090909090909091,-0.006895605519964307,1.0
AKGL,0.20460358056265984,0.11284484477477749,1.0
ALNRS,0.16113744075829384,0.029463672465478125,0.0
ALTN,0.12199630314232902,0.07985844450827764,0.0
AMBL,0.03217821782178218,0.003701197282170693,0.9306930693069307
AMTEX,0.0,4.855086677135745e-08,1.0
ANL,0.04263093788063337,0.01581601766333554,0.997563946406821
ANSM,0.14661134163208853,0.22054162418140122,0.7928176795580111
APL,0.012224938875305624,0.014995967716136122,0.0
ARPL,0.022929936305732482,0.043167871645095085,0.0
ASC,0.047619047619047616,0.0015980419280240549,0.25334957369062117
ASL,0.05115712545676005,0.03149828589114512,0.7661388550548112
ASTL,0.09622411693057248,0.07304323761641435,0.037758830694275276
ASTM,0.144,0.031154371594037944,1.0
ATBA,0.10079575596816977,0.07834990175862483,0.0
ATIL,0.04380952380952381,0.08079345970265031,0.0
ATLH,0.022535211267605635,0.019523998954024346,0.0
ATRL,0.09024390243902439,0.008760336731992141,0.0
AVN,0.10378510378510379,0.045025250162255115,0.0
BAFL,0.013431013431013432,0.01583349372314477,0.0
BAHL,0.01097560975609756,0.000876078782889908,0.0
BAPL,0.1414141414141414,0.06790603983987034,0.9629629629629629
BATA,0.06414473684210527,0.08975957689613984,0.0
BCL,0.18992248062015504,0.09755436101482717,0.0
BERG,0.08233532934131736,0.06390144332263242,0.0
BGL,0.05968331303288672,0.01993310939925591,0.9610231425091352
BIFO,0.0311284046692607,0.00485213271750945,0.0
BILF,0.07097591888466413,0.017961723611850944,0.9543726235741445
BIPL,0.01195219123505976,0.001461650808529294,1.0
BML,0.00243605359317905,-0.002969656949844801,1.0
BNWM,0.07067669172932331,-0.002766650581728397,0.0
BOK,0.009575923392612859,0.10839766665305281,1.0
BOP,0.020731707317073172,0.009669288217716482,0.997563946406821
BPL,0.12296296296296297,0.0852235600740035,0.0
BTL,0.18733509234828497,0.002012709807685975,0.0
BUXL,0.26232741617357,0.06418156722000679,0.0
BWCL,0.031862745098039214,0.018638539982715085,0.0
BWHL,0.18840579710144928,0.054206677055300495,0.0
