symbol,censor_rate,alpha_gap,floor_binds
786,0.08133086876155268,0.11813709981898637,0.43253234750462105
AABS,0.0,9.213613760827855e-10,0.0
AATM,0.09760589318600368,0.14481147198251698,0.0
ABL,0.0055147058823529415,0.012071333093709558,0.0
ABOT,0.009191176470588236,0.014839641318787011,0.0
ACPL,0.022058823529411766,0.0077447670550370995,0.0
ADAMS,0.007434944237918215,0.0039171644095585545,0.0
ADMM,0.04779411764705882,0.07743809727278958,0.0
AGHA,0.016544117647058824,0.08674251195618227,0.7904411764705882
AGIC,0.009242144177449169,0.002617446509587243,0.0
AGIL,0.02022058823529412,0.053079574325951506,0.0
AGL,0.04595588235294118,0.04629655247925779,0.0
AGP,0.02022058823529412,0.003512096554455141,0.0
AGSML,0.027624309392265192,0.023671747189741577,0.9152854511970534
AGTL,0.014705882352941176,0.0069743616500612116,0.0
AHCL,0.014842300556586271,0.023953968749099608,0.0018484288354898336
AHL,0.020370370370370372,0.027165160325324927,0.0
AICL,0.025735294117647058,0.022488948369790457,0.0
AIRLINK,0.01838235294117647,0.019181168008914784,0.0
AKBL,0.011049723756906077,0.0011230888844545872,0.0
AKDHL,0.033073929961089495,0.01435944628797331,0.0
AKDSL,0.03867403314917127,0.0018510494355354623,0.0
AKGL,0.0325,0.041539952566727045,0.0
ALAC,0.053231939163498096,0.09349192631562206,0.4714828897338403
ALIFE,0.014925373134328358,0.009524113130720269,0.0
ALNRS,0.0038240917782026767,-0.0004800144905680592,0.0
ALTN,0.005535055350553505,0.011566736568069502,0.2665441176470588
AMBL,0.06637168141592921,0.04214903661688163,0.09513274336283185
AMTEX,0.003676470588235294,-7.199586184697404e-05,1.0
ANL,0.012867647058823529,0.009065416118141725,0.53125
ANTM,0.09873949579831932,0.17011998774569265,0.0063025210084033615
APL,0.001841620626151013,0.0057809842467131944,0.0
ARCTM,0.06427221172022685,0.11322974315685408,0.0
ARPL,0.016574585635359115,0.01069700304916632,0.0
ARUJ,0.06801470588235294,0.17212630297940473,0.44485294117647056
ASC,0.04595588235294118,0.11627140385823809,0.5753676470588235
ASHT,0.1111111111111111,0.23229661897365855,0.0
ASL,0.012867647058823529,-0.004213920014802669,0.2867647058823529
ASTL,0.02022058823529412,0.03447663128405712,0.0
ASTM,0.12915129151291513,0.15381007859094603,0.0
ATBA,0.02022058823529412,-0.000993613938870458,0.0
ATLH,0.0055147058823529415,-9.221217576549368e-05,0.0
ATRL,0.012867647058823529,0.011921169978534568,0.0
AVN,0.009191176470588236,0.016617803811207477,0.0
BAFL,0.003683241252302026,-0.0009647500772365092,0.0
BAHL,0.0,0.0,0.0
BAPL,0.0974264705882353,0.02433564887345216,0.0
BATA,0.0,-3.519229707649174e-08,0.0
BBFL,0.020637898686679174,0.0860831002482231,0.0
BCL,0.025735294117647058,0.02277032368316026,0.0
BECO,0.08856088560885608,0.09712032819491664,0.7826887661141805
BELA,0.0708955223880597,0.14026485351135276,0.0
BERG,0.03676470588235294,0.09832884178653012,0.0
BGL,0.016544117647058824,0.0079348043947573,0.13602941176470587
BHAT,0.017676767676767676,0.020155656949056522,0.0
BIFO,0.040515653775322284,0.0163359551935785,0.0
BIPL,0.009191176470588236,0.0145029929358938,0.0
BML,0.011049723756906077,0.023840096116447773,0.7113970588235294
BNL,0.09760589318600368,0.011224228391374963,0.2647058823529412
BNWM,0.042279411764705885,0.04997495963617532,0.0
BOK,0.014787430683918669,0.038690693313823354,0.0
BOP,0.03130755064456722,0.016463574496847933,0.2536764705882353
BPL,0.055970149253731345,0.04884275701308377,0.0
BRRG,0.011194029850746268,0.03193758290298215,0.0
BTL,0.06092436974789916,0.09423947347592254,0.0
BUXL,0.07933579335793357,0.0590543356583591,0.0
BWCL,0.003676470588235294,0.004437464278012698,0.0
BWHL,0.01838235294117647,0.09364628285975818,0.0
CASH,0.05303030303030303,0.07709826817415202,0.0
CCM,0.0378619153674833,0.04558566079654103,0.0
CENI,0.009398496240601503,0.014894127816320546,0.0
CEPB,0.014705882352941176,-0.0009830622053056959,0.0
CHAS,0.03984819734345351,0.03473285829772314,0.0
CHBL,0.05698529411764706,0.0871699548613935,0.6544117647058824
CHCC,0.007352941176470588,-0.004438447642561766,0.0
CJPL,0.08527131782945736,0.1819835139511191,0.4437984496124031
CLVL,0.06801470588235294,0.15442663579694055,0.0
CNERGY,0.011029411764705883,0.019035990409154047,0.9172794117647058
CPHL,0.01838235294117647,0.027587813833884728,0.0
CPPL,0.014732965009208104,0.055388963412911996,0.0
CRTM,0.058823529411764705,0.07547907290918127,0.0
CSAP,0.03676470588235294,0.028414399025794318,0.0
CSIL,0.03308823529411765,0.04818088092923689,0.9816176470588235
CTM,0.02022058823529412,0.011463056462905644,1.0
CYAN,0.014634146341463415,0.003967774589417106,0.0
DAAG,0.09558823529411764,0.25966726092990383,0.0
DADX,0.07007575757575757,0.14684609351168065,0.0
DBCI,0.05330882352941176,0.11173590175648518,0.90625
DCL,0.016544117647058824,0.005166815534099201,0.47610294117647056
DEL,0.06985294117647059,0.08910737773671795,0.3639705882352941
DFML,0.042279411764705885,0.050126870066937834,0.0
DFSM,0.058823529411764705,0.12170071642974334,0.8069852941176471
