symbol,censor_rate,alpha_gap,floor_binds
ABL,0.007556675062972292,0.0007280395610894247,0.0
ABOT,0.02972972972972973,0.025951040527419755,0.0
ACPL,0.0678391959798995,-0.02034795273453066,0.0
AGL,0.0075,0.006309013486966775,1.0
AGP,0.055415617128463476,0.04661935020128244,0.0
AGTL,0.02531645569620253,0.06137014757836376,0.0
AHCL,0.06684491978609626,0.0462479712841799,0.0427807486631016
AHL,0.09768637532133675,0.12620876563057018,0.0
AICL,0.015345268542199489,0.008833980145150633,0.0
AKBL,0.020050125313283207,0.015702731628204125,0.415
AMTEX,0.0,-3.006331408816898e-08,1.0
ANL,0.0125,0.004851683538149132,1.0
APL,0.022556390977443608,0.02270559899907537,0.0
ARPL,0.0215633423180593,0.023804765544404083,0.0
ASC,0.05513784461152882,-0.0016354959358165777,0.52
ASL,0.0125,0.015688361428718656,1.0
ASTL,0.1225,0.11558264644792651,0.0775
ATBA,0.1566579634464752,0.2781846317808764,0.0
ATRL,0.12531328320802004,0.04606154263661394,0.0
AVN,0.08771929824561403,0.038133320302029455,0.0
BAFL,0.007518796992481203,0.012942424308018868,0.0
BAHL,0.0075,0.008875496201004529,0.0
BCL,0.1977401129943503,0.1238713648951951,0.0
BGL,0.0125,0.0005072090703599486,1.0
BIFO,0.0215633423180593,-0.006924455109576372,0.0
BILF,0.0,-6.938893903907228e-18,1.0
BIPL,0.010638297872340425,3.5624013290380674e-06,1.0
BML,0.0,0.0,1.0
BOP,0.0075,0.007541514424099699,1.0
BWCL,0.025252525252525252,0.0042746666166842695,0.0
BYCO,0.01,0.012903768253039516,1.0
CEPB,0.06615776081424936,0.007972657051155324,0.0
CHCC,0.12562814070351758,0.021159842816788288,0.0
CLOUD,0.0,-2.9108815705058966e-08,1.0
CLOV,0.22842639593908629,0.24722947355263736,0.0
CNERGY,0.01,0.012903768253039516,1.0
CPPL,0.10050251256281408,0.08129168034011833,0.0
CRTM,0.09239130434782608,0.015929722629214757,0.0
CSAP,0.09022556390977443,0.08219549302351578,0.0
CTM,0.0,9.851409688010904e-09,1.0
CWSM,0.0,-2.9108815705058966e-08,1.0
CYAN,0.14917127071823205,0.05200598675821316,0.1322314049586777
DAWH,0.025252525252525252,0.008688299407477895,0.0
DCL,0.0625,0.07643344875796301,1.0
DCR,0.0,3.004670265371878e-08,1.0
DFML,0.105,0.08061940662350273,0.7475
DFSM,0.0,8.924702588064548e-09,1.0
DGKC,0.1225,0.0571717792195828,0.0
DOL,0.1325,0.028644765116754123,0.4625
DSIL,0.005012531328320802,0.015571231264536356,1.0
DSL,0.0125,0.041659418482573485,1.0
DWSM,0.002857142857142857,-0.0014825756705995063,1.0
ECOP,0.07712765957446809,0.036483477408138176,0.8068783068783069
EFERT,0.005025125628140704,-0.0043417699261831255,0.0
ENGRO,0.005012531328320802,0.005142282073669374,0.0
ENGROH,0.025252525252525252,0.008688299407477895,0.0
EPCL,0.08270676691729323,0.032585341155946995,0.0
