symbol,censor_rate,alpha_gap,floor_binds
ABL,0.004878048780487805,0.00459459096990035,0.0
ABOT,0.004889975550122249,0.0009108455971600649,0.0
ACPL,0.014742014742014743,0.04529983176428254,0.0
ADAMS,0.15288220551378445,0.005593711147460989,0.0
AGIC,0.029177718832891247,0.05697702028262125,0.0
AGIL,0.06702412868632708,0.05248573119675615,0.0
AGL,0.030952380952380953,0.002535018450231727,1.0
AGTL,0.0430622009569378,0.11200257342691544,0.0
AHCL,0.014354066985645933,-0.003694360059483738,0.0
AHL,0.09761904761904762,0.031787977444716425,0.0
AICL,0.02403846153846154,0.05189226936189931,0.0
AKBL,0.02386634844868735,-0.008570108745802288,0.32066508313539194
AMTEX,0.0,-6.702116439605277e-08,1.0
ANL,0.07125890736342043,0.018590040832817845,0.995249406175772
ANSM,0.21588089330024815,0.20332799289425754,0.6707920792079208
APL,0.002386634844868735,0.002784905006784799,0.0
ARPL,0.024154589371980676,0.057722667242862236,0.0
ASC,0.04047619047619048,0.004494998159685626,0.0
ASL,0.08788598574821853,0.045533463425840665,0.5439429928741093
ASTL,0.07125890736342043,0.0744548157584472,0.0
ATBA,0.0431266846361186,0.058766973577887294,0.0
ATLH,0.015544041450777202,0.1145275739532266,0.0
ATRL,0.057007125890736345,0.01160151262265377,0.0
AVN,0.11904761904761904,0.04960315318136388,0.0
BAFL,0.01904761904761905,0.029579113795496492,0.0
BAHL,0.014285714285714285,-0.0010598995794347948,0.0
BCL,0.18333333333333332,0.07758416013340752,0.0
BERG,0.04390243902439024,0.030921670376624855,0.0
BGL,0.10451306413301663,0.04121282243035207,0.9239904988123515
BIFO,0.04,0.06948637626683252,0.0
BILF,0.1382716049382716,0.2984367171071281,0.9111111111111111
BML,0.004750593824228029,-0.03429045540134887,1.0
BNWM,0.034912718204488775,-0.008678381911412014,0.0
BOK,0.013020833333333334,0.027223124060249737,1.0
BOP,0.03333333333333333,0.011470131159559749,0.995249406175772
BPL,0.10723192019950124,0.12516196478690855,0.0
BWCL,0.0380952380952381,0.11740414692851062,0.0
BYCO,0.0332541567695962,-0.0009238542662643734,0.5534441805225653
CEPB,0.081145584725537,0.021738458754019016,0.0
CHAS,0.11229946524064172,0.11266104683466305,0.0
CHCC,0.035629453681710214,0.028966286952718745,0.0
CLOUD,0.0332541567695962,0.06520291232265008,1.0
CLOV,0.2042755344418052,0.2153349688765318,0.0
CNERGY,0.0332541567695962,-0.0009238542662643734,0.5534441805225653
CPPL,0.0380952380952381,0.018548023121472718,0.0
CRTM,0.1619047619047619,0.12938859539785907,0.0
CSAP,0.07380952380952381,0.05500616003064834,0.0
CSIL,0.0,0.0,1.0
CTM,0.002386634844868735,0.005181169166157934,1.0
CWSM,0.0332541567695962,0.06520291232265008,1.0
CYAN,0.05925925925925926,0.1492394916019309,0.0
DAAG,0.17647058823529413,0.19073382511950143,0.8690807799442897
DAWH,0.0332541567695962,0.002596408454335522,0.0
DCL,0.14726840855106887,0.0658083307667715,0.31353919239904987
DCR,0.0,-1.328477871598288e-07,1.0
DFML,0.23515439429928742,0.13967437668349064,0.0
DFSM,0.021377672209026127,0.057845410339394915,1.0
DGKC,0.021377672209026127,0.016706015502921986,0.0
DKL,0.0225,-0.0018708640359970663,1.0
DNCC,0.09803921568627451,0.02603100427475416,1.0
DOL,0.1163895486935867,0.017280593557240126,0.7173396674584323
DSIL,0.0023752969121140144,0.00035725215889460815,1.0
DSL,0.04523809523809524,0.016691497550989087,1.0
DWSM,0.028708133971291867,0.019946606610288686,1.0
DYNO,0.1658653846153846,0.14214352857678714,0.0
ECOP,0.12077294685990338,0.1609791194960914,0.016826923076923076
EFERT,0.004761904761904762,0.0013439352388607828,0.0
EFUG,0.013262599469496022,-0.002770742866931991,0.0
