symbol,n,censor_rate,omega_n,alpha_n,beta_n,ll_n,ok_n,omega_c,alpha_c,beta_c,ll_c,ok_c,omega_l,alpha_l,beta_l,ll_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error
786,1736,0.05069124423963134,8.317723985629516e-06,0.14348255996548318,0.8565174400343529,3459.213656831206,True,1.2546910135139727e-05,0.16334348075409566,0.8366565192456115,3134.4642812330485,True,1.1109551086110906e-05,0.15954605782210918,0.8404539421777903,3124.0529546054026,True,0.016063497856626002,0.019860920788612485,True,
AABS,2024,0.02865612648221344,2.380924915546012e-05,0.12026761333013963,0.8446041839074092,4754.881242552443,True,2.2642817231074318e-05,0.14237076661522285,0.8375164838803559,4503.606138439091,True,2.6468843906951652e-05,0.13190163527335522,0.8320674028641422,4505.137877464844,True,0.011634021943215583,0.02210315328508322,False,
AATM,663,0.12368024132730016,0.0006628441614141486,0.3019966698067953,0.4288748307912026,1109.2628136165927,True,0.000749550315560699,0.6572033916906737,0.34279660830923886,859.1657915817425,True,0.0008102224854374038,0.5490971210144193,0.29968823249093457,890.7156691711673,True,0.24710045120762403,0.35520672188387836,False,
ABL,2417,0.005378568473314025,3.236830979310784e-05,0.1265006755310523,0.7628606664388435,6573.737379565165,True,3.387103125378713e-05,0.13751621104222786,0.7511447312815354,6507.935182711922,True,3.454211769448176e-05,0.13465354939010055,0.7495273428270313,6508.631212475926,True,0.008152873859048254,0.011015535511175567,False,
ABOT,2412,0.010364842454394693,4.939017805646164e-05,0.13623253079051817,0.7377552149012113,6185.260475760301,True,5.0710455303638725e-05,0.14940257185530242,0.7290144153697913,6061.396057044556,True,5.3055353880208326e-05,0.1447293296273917,0.7237280676911598,6061.140187366422,True,0.008496798836873543,0.013170041064784255,False,
ACPL,2453,0.025275173257236036,3.605072420493491e-05,0.14347822288187306,0.7933570657716765,5930.189285764723,True,3.681295268608342e-05,0.17588776533142303,0.7770534581800344,5654.465619390466,True,4.2621804488951026e-05,0.16653457623366566,0.7652102349020646,5656.308476751661,True,0.023056353351792597,0.032409542449549966,False,
ADAMS,2074,0.0703953712632594,0.00025956738732169,0.15943566927820976,0.5842879708241363,4257.671544980682,True,0.000282947952482051,0.23134489598668234,0.5598937887113917,3655.7501435791805,True,0.0002601484605100158,0.1835314304256072,0.5975603157190765,3661.859354837095,True,0.02409576114739745,0.07190922670847258,False,
ADMM,1964,0.060590631364562116,7.061859092946285e-05,0.15214785540510345,0.7638402708388039,4329.582520810707,True,6.937140964936652e-05,0.21374585072420865,0.7479340182408012,3830.343663609569,True,8.853136766945335e-05,0.18925063221328964,0.7238812687685454,3834.2028939579786,True,0.03710277680818619,0.0615979953191052,False,
ADOS,918,0.19934640522875818,0.00025400188039376387,0.21015066822599232,0.6269439134482113,1696.5128159653523,True,0.0004990185878947058,0.5856805449673609,0.4143194550326169,1030.1017544987312,True,0.0005991268615005808,0.41771408435960666,0.36511661993131117,1042.301095623105,True,0.20756341613361434,0.37552987674136856,False,
AGHA,1459,0.013022618231665525,7.604241385944773e-05,0.1303108431495082,0.771836084310338,3260.3059594632045,True,9.020019300112333e-05,0.1597029037850013,0.7345083026869323,3176.582053334189,True,0.00011227926777425373,0.16473511261202461,0.6955081562610772,3177.225899263596,True,0.03442426946251642,0.0293920606354931,False,
AGIC,2080,0.019230769230769232,6.807022628652893e-05,0.14022040897442756,0.7549972616026791,4812.375052514303,True,7.037422085146171e-05,0.1650073229961571,0.7403566671527966,4633.746991414241,True,7.188518434389023e-05,0.1522693916776703,0.7425962781346037,4633.388441289495,True,0.012048982703242755,0.024786914021729556,False,
AGIL,2168,0.03413284132841329,0.0001376642079194825,0.13778720184621385,0.6697459378243882,4849.647326458844,True,0.00017716353639245225,0.18436593273880425,0.5993378299917849,4518.469212752628,True,0.00020226873079727813,0.17873848945516846,0.5603513216663278,4520.209935498753,True,0.04095128760895461,0.0465787308925904,False,
AGL,2475,0.030303030303030304,0.00011154134208640905,0.13004658517393547,0.8119721206222728,4556.807907157434,True,0.00011295078191256899,0.15308180876154717,0.8048933272490835,4248.102869693789,True,0.00012807792084040424,0.14014698606450032,0.7981971258113432,4243.544368932986,True,0.010100400890564853,0.023035223587611703,False,
AGP,2111,0.02700142112742776,6.457838184223665e-05,0.1210128767854146,0.7633489590050939,5005.721201016178,True,6.91381430300168e-05,0.14434717446555578,0.7480039487148182,4737.784927768223,True,7.10072663131385e-05,0.13267561541630335,0.748538634010832,4739.589437433853,True,0.01166273863088875,0.023334297680141183,False,
AGSML,1964,0.0274949083503055,0.0001777558683909581,0.17198545187000874,0.7681844657342152,3296.422685019111,True,0.00020805395191665434,0.210126261368184,0.7387882139147566,3084.7365116757364,True,0.0002571409601351406,0.19726996282288078,0.7173823246714577,3080.1497624331178,True,0.02528451095287204,0.03814080949817525,False,
AGTL,2441,0.021712412945514133,3.0180140660824645e-05,0.13555951535446026,0.7958390700101186,6230.258100780253,True,3.1808942552724256e-05,0.16534638127945195,0.7779873634297506,5979.346155240836,True,3.717402136471744e-05,0.15623580226781364,0.7647100927621266,5978.945892237055,True,0.02067628691335338,0.02978686592499169,False,
AHCL,2312,0.022923875432525952,4.627864886981333e-05,0.11367978093916528,0.8092048136813976,5418.170266849489,True,4.926340402224366e-05,0.13589036608094318,0.7939192591041186,5180.758012075993,True,5.636808666848985e-05,0.13370430457884247,0.7781895266672814,5185.306821731956,True,0.02002452363967719,0.0222105851417779,False,
AHL,2447,0.0469963220269718,9.070622050857125e-05,0.15427321611184758,0.7070169912124795,5625.860925222313,True,9.300613564252805e-05,0.2087567552962847,0.688285361477416,5128.881962330849,True,0.00010719769749611039,0.1980688321993885,0.6605613031165456,5141.798197461239,True,0.04379561608754093,0.05448353918443713,False,
AICL,2442,0.014742014742014743,7.910436955957366e-05,0.1651717299182922,0.6825407019847665,5912.137692491064,True,8.170534357906031e-05,0.18878153582872165,0.667899023567196,5743.818250287546,True,8.545586428153261e-05,0.18503274246902013,0.6589082033302512,5743.88138525727,True,0.01986101255072792,0.023609805910429438,False,
AIRLINK,1239,0.03066989507667474,0.00012654903268169036,0.202164832023907,0.6594888254603851,2686.836493362658,True,0.00012077452659340336,0.2552501323006701,0.6491927552951492,2528.438875562502,True,0.0001328068308424217,0.234156778138095,0.6385251213430343,2529.3414733526943,True,0.031991946114187986,0.053085300276763114,False,
