symbol,n,censor_rate,omega_n,alpha_n,beta_n,ll_n,ok_n,omega_c,alpha_c,beta_c,ll_c,ok_c,omega_l,alpha_l,beta_l,ll_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error,regime
786,825,0.02666666666666667,0.0001163626621177814,0.25518812624090204,0.7005840699126593,1528.2741723725144,True,0.00012962055388836946,0.31122917026561503,0.6667316081841175,1445.030774052766,True,0.00016488213449583747,0.2864696657701239,0.6472107475910059,1441.703252531152,True,0.03128153952922186,0.056041044024712994,False,,7.5%
786,541,0.08133086876155268,0.00010202113626534443,0.14360601596622388,0.8065707279867478,966.0037226296658,True,0.0001373310750338956,0.2621408521779385,0.7378591478215948,817.671915854662,True,0.00026505136762019864,0.26174311578521026,0.6388017655706998,825.6119295985709,True,0.11813709981898637,0.1185348362117146,False,,10.0%
AABS,609,0.07389162561576355,1.8765037210512033e-05,0.06951599821847643,0.9044758153205152,1363.4219039567358,True,6.0150902616951097e-05,0.1741364745030206,0.7810381352528146,1171.0476728968874,True,0.0001699658022161819,0.22351390524503345,0.5789183247812593,1173.9622767861313,True,0.15399790702655702,0.10462047628454418,False,,5.0%
AABS,803,0.0161892901618929,3.800344824057792e-05,0.11552713320397906,0.8308063857691005,1825.6742402332716,True,3.8292428121337574e-05,0.128591758494827,0.8247991664349958,1768.0558709815027,True,4.082142700008577e-05,0.12212442047498054,0.8222509585404547,1767.3446985738158,True,0.0065972872710014785,0.013064625290847953,False,,7.5%
AABS,542,0.0,2.4767627528106642e-05,0.15868385228871928,0.7858480053664005,1402.8530015287265,True,2.4767627528106642e-05,0.15868385228871928,0.7858480053664005,1402.8530015287265,True,2.4767607739023106e-05,0.15868385321008066,0.7858480750126136,1402.8530015287263,True,9.213613760827855e-10,0.0,False,,10.0%
AATM,543,0.09760589318600368,0.00034657775159754954,0.26915522719302964,0.563184006390534,934.8765005009398,True,0.00037129576926732096,0.4792840469267994,0.4935670921890951,761.7767889708489,True,0.0004742946733807895,0.4139666991755466,0.43426788453548587,773.140575438181,True,0.14481147198251698,0.21012881973376973,False,,10.0%
ABL,807,0.006195786864931847,2.070104258562359e-05,0.06851696338141003,0.8426378230965161,2248.0454322339324,True,2.1269530517268593e-05,0.07301262296070711,0.8379828773692806,2221.5198396702945,True,2.174766186117241e-05,0.07104869109373091,0.8368923434404938,2221.3956703927943,True,0.0025317277123208803,0.004495659579297082,False,,5.0%
ABL,992,0.004032258064516129,4.95744453628034e-05,0.22720644705302184,0.5904263981025983,2760.8845602928377,True,5.142010233529606e-05,0.25007458036448427,0.5703012742195832,2743.076205541573,True,5.1990489930909924e-05,0.2432740361003423,0.570586926503778,2742.9997059195925,True,0.016067589047320446,0.022868133311462424,False,,7.5%
ABL,544,0.0055147058823529415,4.3218480446990154e-05,0.17209097541115664,0.7301033794452721,1403.962945435487,True,4.508298587324695e-05,0.18954443888882178,0.7159597175982579,1388.921841983148,True,4.562427620202877e-05,0.1841623085048662,0.7166897283432242,1388.761006334076,True,0.012071333093709558,0.017453463477665132,False,,10.0%
ABOT,779,0.01668806161745828,4.68033124823309e-05,0.12823148921242952,0.7498854494467072,1983.5380399925289,True,4.342431351325558e-05,0.1397744839086787,0.7569143555647138,1922.0944841696196,True,4.816844483983937e-05,0.13636987229181935,0.7435323438753545,1922.4345101753922,True,0.008138383079389827,0.01154299469624917,False,,5.0%
