symbol,n,censor_rate,alpha_n,beta_n,nu_n,ok_n,alpha_c,nu_c,ok_c,alpha_l,beta_l,nu_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error
786,1736,0.05069124423963134,0.1943365065789132,0.8056634934209486,4.178398982787285,True,0.2317676075301916,4.064845565518446,True,0.26095953893554147,0.739040461064401,3.8325988562870297,True,0.06662303235662828,0.03743110095127841,True,
AABS,2024,0.02865612648221344,0.23022419116826498,0.7697758088317272,3.998304715701159,True,0.32398399883215545,3.395848409243172,True,0.296839379527448,0.6820571298527228,3.200704463038827,True,0.06661518835918301,0.09375980766389047,True,
AATM,663,0.12368024132730016,0.33655220475410197,0.1584787218211361,4.892260289973624,True,0.7522883973502326,2.4638083738984307,True,0.8275795014942122,0.00965862729828057,7.892270260303727,True,0.49102729674011025,0.4157361925961306,False,
ABL,2417,0.005378568473314025,0.3010283764378111,0.6395216955796297,3.0174816613940068,True,0.3406208431652097,2.8572934157469074,True,0.26232131126159197,0.6361921011326017,3.085391928078959,True,-0.038707065176219135,0.03959246672739858,False,
ABOT,2412,0.010364842454394693,0.3074553920813449,0.6090943270590883,3.2754937640048416,True,0.3801005220025205,2.923588068110562,True,0.3119656730303948,0.52535644885,3.152464489940834,True,0.004510280949049872,0.07264512992117556,False,
ACPL,2453,0.025275173257236036,0.28137647002243904,0.7174166557100872,3.909011445603146,True,0.3345764148256819,3.424651987598976,True,0.26987794839945956,0.6787656007469036,3.4504778917840717,True,-0.011498521622979485,0.05319994480324286,False,
ADAMS,2074,0.0703953712632594,0.16818821454252975,0.584886880794576,61.8753397987861,True,0.4118760526803422,4.177540508475776,True,0.21996032463909243,0.6198954992362542,4.205382675354032,True,0.051772110096562685,0.24368783813781247,False,
ADMM,1964,0.060590631364562116,0.23163535435815497,0.7630832120005154,4.24673827519501,True,0.28509651556685034,3.3050420438359644,True,0.215373574028783,0.7160144615282664,2.8952627386238206,True,-0.016261780329371978,0.053461161208695374,False,
ADOS,918,0.19934640522875818,0.2155949251520447,0.6261093284276105,199.99999999831635,True,0.600470383366396,16.20194138643665,True,0.4571286037108965,0.3922396639652198,5.7925843266479315,True,0.24153367855885177,0.3848754582143513,True,
AGHA,1459,0.013022618231665525,0.16924912690860733,0.7860223740400998,3.3623780433724253,True,0.21375114156388425,2.9558474263574483,True,0.16073092276589102,0.7421715546132952,3.158531492683417,True,-0.008518204142716312,0.04450201465527692,False,
