dist,L,seed,censor_rate,alpha_naive,alpha_partial,alpha_latent
normal,0.05,0,0.0132,0.11210360299152786,0.12380322272468093,0.11769585996835306
normal,0.05,1,0.0228,0.16369235075247543,0.19028206432099115,0.18017926428222708
normal,0.05,2,0.0092,0.12279457911119336,0.13600362429903318,0.13176908273413673
normal,0.05,3,0.0132,0.12087373914857287,0.13811849312782723,0.1332522229894743
normal,0.05,4,0.0152,0.14396725580516434,0.16116126595214308,0.15533270944390554
normal,0.05,5,0.022,0.11969711497385732,0.13926366698957915,0.13348012420711497
normal,0.05,6,0.0172,0.12285915321253688,0.1411469072482076,0.13436884516111358
normal,0.05,7,0.0172,0.11629242807284083,0.13490353828346577,0.13262497690473538
normal,0.05,8,0.0284,0.12675597435904143,0.1565783186737843,0.1446687958715932
normal,0.05,9,0.0236,0.170833894733043,0.204121602399142,0.1883548066584132
normal,0.05,10,0.0244,0.14657321858948774,0.17427728520658992,0.16309108550486587
normal,0.05,11,0.0236,0.15450501383928972,0.1855559558362766,0.17336904970089323
normal,0.05,12,0.0156,0.12605036129466354,0.14368629995570345,0.1373209854693588
normal,0.05,13,0.0292,0.1717586089603489,0.21015257875524965,0.1986379962484353
normal,0.05,14,0.0108,0.1110015414930152,0.11747536744216458,0.11339735855463895
normal,0.05,15,0.0148,0.13414886253536318,0.15165518454661242,0.1441093525595914
normal,0.05,16,0.0224,0.14012993973399093,0.1621897407245303,0.15565641952263856
normal,0.05,17,0.024,0.15077382915325194,0.17629438748359394,0.16854327233788283
normal,0.05,18,0.0216,0.15261782616084377,0.18141943397082402,0.16843433277244346
normal,0.05,19,0.024,0.17080730907703667,0.20166450457955015,0.1922881685071808
normal,0.05,20,0.0264,0.1383615636341774,0.16561032636842993,0.1536791478888239
normal,0.05,21,0.0208,0.16036403308657088,0.179574245214722,0.16811241456857678
normal,0.05,22,0.0132,0.14526776726078733,0.1646515992900212,0.15881532530396408
normal,0.05,23,0.0164,0.12909516240685937,0.1451457636099393,0.14074672457900217
normal,0.05,24,0.0244,0.13601955857375464,0.16307751145939406,0.15626247455218173
normal,0.05,25,0.0228,0.14891749243812857,0.1773098726865056,0.16620660248013733
normal,0.05,26,0.0288,0.142412110920197,0.17350133961446584,0.16091783252846312
normal,0.05,27,0.0336,0.15864783909296487,0.1930651470248272,0.18490192071891398
normal,0.05,28,0.0128,0.12886090182929644,0.1443962099153569,0.1411123695429047
normal,0.05,29,0.0212,0.10708051514427855,0.12783050199818974,0.12186622714922994
normal,0.05,30,0.0196,0.14636359595308313,0.17150349520797276,0.16159060837531508
normal,0.05,31,0.0324,0.14130428850371418,0.17280360049559537,0.1583435614402653
normal,0.05,32,0.0216,0.12497769026423453,0.1477035866538701,0.14150927967584637
normal,0.05,33,0.0172,0.14292870761165677,0.16086046588861286,0.15262394547431202
normal,0.05,34,0.0172,0.1619824027415686,0.18363394812522704,0.17397279839584054
normal,0.05,35,0.0108,0.13218134962907346,0.14747001221752631,0.1448832519184045
normal,0.05,36,0.0144,0.16304989986029464,0.18039692519627393,0.1725255610209995
normal,0.05,37,0.0212,0.1453537986111316,0.17375144101197787,0.16267794496730056
normal,0.05,38,0.0188,0.14463780091255354,0.16946077719616,0.16195139607177073
normal,0.05,39,0.0116,0.10669318569368319,0.12172873309057955,0.11680967143158602
normal,0.05,40,0.0212,0.11857669488285236,0.13880322237060888,0.13115610193725866
normal,0.05,41,0.016,0.11803721943416726,0.13175255936687078,0.12355762116241642
normal,0.05,42,0.0164,0.1442973860257704,0.16432267182425042,0.1590508273928724
normal,0.05,43,0.0164,0.1199182211957378,0.13732869172107615,0.12955303682572572
normal,0.05,44,0.0184,0.15352928546592398,0.17424775912106621,0.16502512014245008
normal,0.05,45,0.0364,0.14296587100699143,0.1788613426928043,0.16692073641685434
normal,0.05,46,0.0116,0.13271796481943096,0.14700189165827174,0.141260242063684
normal,0.05,47,0.0184,0.1429609571548923,0.16432873809751763,0.15806599151774633
normal,0.05,48,0.0184,0.13120675042019203,0.14898275486278234,0.1432463455415996
normal,0.05,49,0.024,0.14039181327928596,0.16812764944160424,0.16047491946988793
normal,0.04,0,0.04,0.10720366908570808,0.13615770715424833,0.11815612589530197
normal,0.04,1,0.0516,0.15138598915034002,0.20273980378318868,0.18016072917110615
normal,0.04,2,0.0392,0.11262175145259362,0.15095819454250797,0.13034268505114804
normal,0.04,3,0.034,0.10752493544189115,0.1387830950042121,0.127593596949642
normal,0.04,4,0.0396,0.13303241125453974,0.17346021319562488,0.15725135481062485
normal,0.04,5,0.0504,0.10846501816054258,0.14770970004920103,0.135677448788544
normal,0.04,6,0.0476,0.11013575231809336,0.14996442768685964,0.1284871789245294
normal,0.04,7,0.0356,0.10824448957798932,0.13523111974863936,0.12701088658818238
normal,0.04,8,0.0596,0.1156565559438067,0.1684616788465914,0.14094440128805513
normal,0.04,9,0.0576,0.15055881072806582,0.22627921875458434,0.19281682384870621
normal,0.04,10,0.0492,0.13072600719310462,0.17904557456760214,0.15948552961651585
normal,0.04,11,0.0576,0.1421850132841307,0.19851720906649728,0.1768685831863857
normal,0.04,12,0.0396,0.11347444459879702,0.1538322419830094,0.13771726903307346
normal,0.04,13,0.0572,0.15384331630642828,0.21954216231817214,0.1952360170372579
normal,0.04,14,0.0376,0.10632234561057893,0.13338858278311969,0.11916236224373883
normal,0.04,15,0.0328,0.11981941198079463,0.1536367511679165,0.13945137867470683
normal,0.04,16,0.056,0.1314787088500069,0.17791145429161204,0.15999019699730055
normal,0.04,17,0.0548,0.138947873423792,0.19670498960531674,0.17714777213860342
normal,0.04,18,0.052,0.14210475476359802,0.19038641770916137,0.16670905828440136
normal,0.04,19,0.0452,0.15860545367106704,0.2079924092856419,0.1963439197526381
normal,0.04,20,0.0556,0.12397031912821924,0.1732344308229904,0.15222819359044018
normal,0.04,21,0.046,0.15599023776364696,0.19546560076821845,0.17225567350757148
normal,0.04,22,0.0376,0.13309064834364553,0.17300111321243736,0.15738722832464858
normal,0.04,23,0.0416,0.11880073269315805,0.1538849342806614,0.13844749260611994
normal,0.04,24,0.0484,0.12200825140813304,0.1616468989652691,0.14930782202958917
normal,0.04,25,0.054,0.13389523372588907,0.1877273451505599,0.16575377665242608
normal,0.04,26,0.0588,0.13001258737065713,0.18242023408467234,0.15860355092036132
normal,0.04,27,0.0636,0.145041258623316,0.20485005859599176,0.19314340525583637
normal,0.04,28,0.0364,0.1189734655115965,0.15370431887593516,0.14056995300623581
